feature,importance_mean,importance_std,importance_cv,presence_rate
rfm_monetary_value_6m_DIV_behavior_amt_recent,0.0008077177606408565,0.0007219334704217287,0.8937931190912732,0.4
rfm_monetary_value_3m_DIV_behavior_amt_recent_3m,0.00013661488849846582,0.00012302764451451093,0.9005368692228835,0.0
time_active_months_last_6m,0.0,0.0,0.0,0.0
behavior_amt_previous_3m_X_time_days_since_account_open,0.0015637639425073748,0.0004953344912697614,0.31675763908323157,0.8
cc_cnt_vol_spike_6m,0.003391407066912118,0.0010530351432887033,0.3105008664579528,1.0
behavior_products_recent_6m,0.01750596506978968,0.0017516775126534333,0.10006174498854598,1.0
time_days_between_last_two_txn,0.0,0.0,0.0,0.0
behavior_amt_previous_6m_DIV_behavior_amt_recent_1m,0.0016918895770448965,0.0003543044606115953,0.20941334233945166,1.0
behavior_amt_previous_X_rfm_monetary_delta_6m,0.0010469225071097503,0.0005773384538282072,0.5514619262128041,0.6
behavior_amt_recent,2.2919218237019817e-05,4.5838436474039634e-05,1.9999127407959507,0.0
time_days_since_account_open_X_rfm_monetary_delta_6m,0.0010931470185497655,0.00046380541497837043,0.42428418394215456,0.4
mobile_eft_all_cnt_max_6m,0.00385216140636428,0.0012907071847602027,0.3350604280410879,1.0
eft_amt_collapse_3v12,0.0022180431561649406,0.0008242911984603927,0.3716297514498606,1.0
behavior_amt_previous_3m_DIV_behavior_amt_previous,0.0008565912342539962,0.0002570613774372717,0.30009772112999106,0.2
avg_active_products,0.3327635256659631,0.027311822253231893,0.082075768720435,1.0
behavior_txn_recent_share_1m_over_6m,0.0,0.0,0.0,0.0
behavior_amt_previous_3m,0.00016958535452504448,0.0002196628695743024,1.2952862285972582,0.0
behavior_txn_count_recent_3m,0.0,0.0,0.0,0.0
behavior_amt_recent_6m_DIV_rfm_monetary_value_3m,0.0003014455970471309,0.00025416638328602456,0.843155589665807,0.0
behavior_amt_recent_3m_DIV_rfm_monetary_delta_6m,0.0005059669770224352,0.0003613352888080475,0.7141465571289018,0.2
behavior_amt_recent_DIV_behavior_amt_previous_3m,0.0002822778011138977,0.00014791781901273747,0.52401320407002,0.0
cc_transaction_all_amt_trend_max,0.0015937252937018264,0.0008508112799652998,0.5338503125207771,0.6
time_active_months_last_3m,0.0,0.0,0.0,0.0
mobile_eft_all_amt_std_1m,0.0,0.0,0.0,0.0
time_days_since_account_open_DIV_rfm_monetary_delta_6m,0.002471228488259273,0.00027714688086563725,0.11214939048856151,1.0
behavior_amt_recent_3m_X_lifecycle_tenure_days,0.00126717483979103,0.0005885669730634947,0.4644714289696017,0.6
behavior_amt_recent_6m_DIV_behavior_amt_recent_1m,0.001732661176048966,0.0005789155829610698,0.33411913237535196,0.8
cc_transaction_all_amt_std_6m,0.0014936338573750421,0.00044753713937180573,0.29962954945917686,0.8
behavior_txn_count_change_pct_3m,0.0,0.0,0.0,0.0
rfm_monetary_value_X_behavior_amt_recent_1m,0.0008296131053983508,0.0005106207732350079,0.6154919135443413,0.4
eft_amt_vol_spike_3v12,0.0023345814485850494,0.0007737106432681888,0.33141285874787657,1.0
behavior_txn_count_change_ratio_3m,0.0,0.0,0.0,0.0
behavior_amt_previous_6m_DIV_lifecycle_tenure_days,0.0015803885233168287,0.0005763675417310387,0.36469967259805186,0.8
mobile_eft_all_amt_mean_6m,0.002075463130603013,0.0009291245323768063,0.44767072515334444,1.0
rfm_frequency_delta_3m,0.0,0.0,0.0,0.0
cc_transaction_all_cnt_sum_6m,0.002407080342984037,0.0007840075484899618,0.32570878868515296,1.0
rfm_monetary_value_6m_X_behavior_amt_recent,0.0002675474376056068,0.00015254016163546085,0.5701403566419637,0.0
cc_cnt_recency_intensity,0.0029380046572966417,0.0010350158717347426,0.35228518677771903,1.0
eft_amt_vol_spike_6m,0.00026128828970327275,0.00019723374759006226,0.7548481907316074,0.0
time_avg_days_between_txn,0.006289863981459774,0.0019595655804694255,0.3115433457229224,1.0
time_txn_count_last_6m,0.0,0.0,0.0,0.0
rfm_monetary_value_3m_X_rfm_monetary_delta_3m,0.00014866251299545661,0.00011029447755785064,0.741906842745075,0.0
behavior_amt_recent_3m_X_behavior_amt_recent_1m,0.0007390906665571079,0.0003620754062263688,0.489892421481378,0.2
behavior_amt_recent_3m_DIV_time_days_since_account_open,0.0023661608091746457,0.0004365743657694611,0.18450740100557414,1.0
cc_transaction_all_amt_trend_mean,0.0023181203873360256,0.000799336348414343,0.3448207469984722,1.0
behavior_amt_recent_DIV_behavior_amt_previous,6.877562170495276e-05,8.516910852296793e-05,1.2383438792375971,0.0
rfm_monetary_value_6m_DIV_lifecycle_tenure_days,0.0010750664857993456,0.0004284592202956862,0.3985416971076134,0.6
